State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,11.875106091923035,15.243187030025066,13.704075590226822,14.60647778602083,14.070017864993131,17.421259333500892,14.915808374602744,14.782906995782104,13.451651809477609,14.808748343116834
AK,2.0178324365872404,2.4879721432178834,2.6157190252831484,2.546735384709219,2.738272389841779,3.061846682851168,3.760716522072442,3.8199487638230263,4.316539657981797,4.008325665388949
AZ,7.641604960847624,6.976134163449387,7.323617553730785,9.112337042724349,8.244987183771944,8.47771641521398,9.842071170067452,10.343797126068191,11.014717778055255,11.649990163689768
AR,11.37685663072752,12.565751135014116,12.300846085247414,11.96774593503135,11.686906235552042,11.984159821390579,11.732130888036394,12.169925793020608,12.120470754236589,11.366800929028745
CA,8.429908856746582,9.339480054005463,10.791461182795935,12.200219570279158,10.752765821279482,11.234395982344129,11.40430178324015,11.255267533821122,13.55317894448447,15.859569351487055
CO,5.200950076607153,5.345068418649942,5.4003157948217835,7.265666748827511,7.442840623822944,8.306935352815735,8.809565557518782,8.897941493961612,10.869429094184424,10.985192726875166
CT,4.707228025964503,5.438125196520622,5.674860617687153,5.853989006732803,5.372464415017607,5.733362527736909,6.0451371302547985,6.181894605497602,6.604383044277692,6.522511310036815
DC,0.30689175683309433,0.33246641821057993,0.589891476777291,0.7133444419032683,0.6331824653601732,0.6722044874655316,0.7323821104653109,1.0274049468061228,1.2587316255603451,1.352557994594562
DE,1.9859007564192726,2.5591810620601407,3.0978117585025045,2.8824508531497246,2.6090292876326897,2.774800002917004,2.9394503840167387,2.7874050320848496,2.773800479223891,2.924921350225321
FL,5.687517497618917,6.632292284790757,6.7739812575468346,6.9906104230092705,7.158323583705115,7.436144256537097,7.2763562851279,6.919933997845462,6.8609667446336315,7.332139872359823
GA,6.731854591017723,7.569422232959997,7.962422450094827,8.28755757660155,8.59610955802609,10.177349150072903,10.414245659667596,10.563801440491321,10.546582174557834,10.405012562442097
HI,6.991758241758242,7.144125695438647,6.571041948579161,7.163316758876672,7.7483965423589805,9.320898765041962,10.024559293150606,10.405942414300261,11.433010257225076,11.25829213673047
ID,24.726874099661643,27.117386026704875,25.431934651100065,34.224111986541864,30.515401454147444,26.546424945832513,29.832284150238415,28.682935548860645,28.409959015250784,31.31080458524159
IL,3.933803481473011,4.824195682355618,5.198827936094153,5.626124946966106,6.034186136274247,6.367142677803531,6.462391673912711,6.826857824781888,6.894981559181758,7.452736071908368
IN,3.4043925854851818,4.374691062002128,4.917268685673337,5.37637313574751,5.360332564710467,5.469594658756783,5.575765054125931,6.197698249375729,6.613976512326617,6.749722599943595
IA,14.785848643069974,19.979551556380613,22.72927379786063,23.252627622624612,25.329732902026812,25.55116943404137,26.591487766650634,28.054583620238844,29.2333875088892,29.673469099835643
KS,5.20064133769824,6.126272822590057,6.748185403314383,7.345174923520798,8.487459442948195,12.287111685182902,13.538892065805344,13.65171306171078,16.39997326504322,20.364567492328884
